,iteration,epoch,avg_disc_loss,avg_ae_loss,avg_recon_loss,timeT,timeV
220,7,10,-0.1803,7433.4467,15322.1753,3.9238,0.5606
221,7,11,-0.1928,7431.4332,15322.9356,3.8726,0.5619
222,7,12,-0.1837,7436.7436,15323.1316,3.8902,0.5681
223,7,13,-0.1865,7434.5223,15322.1482,3.9141,0.5743
224,7,14,-0.1614,7434.7715,15322.8494,3.9098,0.5666
225,7,15,-0.1749,7431.275,15323.7001,3.8791,0.5706
226,7,16,-0.1577,7431.8737,15323.5008,3.8717,0.569
227,7,17,-0.2089,7429.4931,15322.7368,3.8884,0.5684
228,7,18,-0.1372,7434.1132,15322.5354,3.9387,0.5697
229,7,19,-0.16,7436.8293,15323.3505,3.8886,0.5638
230,7,20,-0.1695,7433.3166,15321.9752,3.8561,0.5644
231,7,21,-0.1951,7434.0974,15322.576,3.857,0.5659
232,7,22,-0.1464,7431.1076,15323.1527,3.8743,0.5685
233,7,23,-0.1592,7431.1908,15323.3184,3.9068,0.5762
234,7,24,-0.1146,7433.8849,15322.1494,3.9001,0.56
235,7,25,-0.1527,7428.5907,15322.8809,3.8793,0.5656
236,7,26,-0.1615,7436.7731,15322.802,3.8677,0.5672
237,7,27,-0.174,7432.7996,15322.872,3.8902,0.5698
238,7,28,-0.1475,7432.3212,15322.5249,3.9071,0.5806
239,7,29,-0.1449,7433.0423,15322.3996,3.8985,0.5638
240,8,0,-0.1898,7537.0241,15553.0519,4.4036,0.5949
241,8,1,-0.2054,7536.7609,15553.0381,4.3566,0.6017
242,8,2,-0.176,7535.787,15552.2841,4.3396,0.5984
243,8,3,-0.1467,7537.5383,15551.6027,4.3504,0.5972
244,8,4,-0.1711,7533.8519,15552.4279,4.367,0.589
245,8,5,-0.2009,7536.9639,15552.201,4.4029,0.5956
246,8,6,-0.1613,7535.7781,15552.5961,4.4028,0.6014
247,8,7,-0.1857,7536.4093,15552.0343,4.4075,0.6011
248,8,8,-0.1641,7538.8394,15553.326,4.3784,0.5966
249,8,9,-0.19,7537.4786,15552.7611,4.3508,0.6029
250,8,10,-0.1813,7537.4713,15553.2155,4.339,0.5934
251,8,11,-0.1937,7540.7655,15553.6316,4.3433,0.596
252,8,12,-0.1679,7538.4302,15553.2652,4.3741,0.5944
253,8,13,-0.1735,7535.2197,15552.571,4.3995,0.6002
254,8,14,-0.1615,7535.7489,15552.1032,4.3997,0.5943
255,8,15,-0.1827,7536.779,15553.3731,4.3811,0.6006
256,8,16,-0.1711,7536.2291,15552.8559,4.3988,0.6
257,8,17,-0.1362,7539.4908,15552.2151,4.3559,0.5912
258,8,18,-0.2005,7537.3913,15552.0031,4.3447,0.5943
259,8,19,-0.1563,7536.9999,15553.016,4.3891,0.5989
260,8,20,-0.1596,7536.6112,15552.9621,4.4024,0.604
261,8,21,-0.1169,7537.1428,15552.7975,4.4047,0.6008
262,8,22,-0.156,7533.5805,15553.0282,4.4062,0.6063
263,8,23,-0.1695,7539.993,15552.7306,4.4333,0.6016
264,8,24,-0.1588,7536.1113,15553.1303,4.4221,0.6029
265,8,25,-0.1395,7537.4869,15552.069,4.4192,0.595
266,8,26,-0.1744,7538.0643,15552.9248,4.3801,0.6057
267,8,27,-0.1861,7537.0964,15553.6041,4.3663,0.5973
268,8,28,-0.1543,7536.3534,15552.646,4.3525,0.5957
269,8,29,-0.1818,7538.0934,15552.9514,4.3444,0.603
270,9,0,-0.191,7536.4296,15543.6909,4.8425,0.6347
271,9,1,-0.2059,7537.5651,15543.7238,4.868,0.6258
272,9,2,-0.1791,7536.0833,15544.0136,4.8608,0.631
273,9,3,-0.1436,7536.6701,15544.5465,4.891,0.6251
274,9,4,-0.1997,7535.9295,15544.2721,4.9318,0.6264
275,9,5,-0.1625,7537.3712,15544.0018,4.9338,0.6392
276,9,6,-0.1786,7536.4879,15545.0778,4.9042,0.6295
277,9,7,-0.1692,7539.3267,15545.1426,4.8884,0.6319
278,9,8,-0.1934,7537.0349,15543.9511,4.8358,0.6326
279,9,9,-0.1814,7539.6456,15544.3454,4.839,0.634
280,9,10,-0.1842,7538.994,15545.078,4.8419,0.6343
281,9,11,-0.153,7538.7045,15544.2781,4.8424,0.6373
282,9,12,-0.1774,7535.6971,15544.6104,4.8744,0.632
283,9,13,-0.2015,7534.4937,15544.2491,4.8819,0.6216
284,9,14,-0.1551,7538.4178,15543.877,4.8064,0.6119
285,9,15,-0.1414,7540.1021,15544.5165,4.7373,0.6042
286,9,16,-0.2028,7538.127,15545.1815,4.7282,0.5966
287,9,17,-0.1428,7537.5647,15543.9634,4.7191,0.6053
288,9,18,-0.1548,7535.617,15544.4965,4.7279,0.5981
289,9,19,-0.1315,7535.8382,15543.2458,4.7121,0.6044
290,9,20,-0.1565,7539.5029,15544.1263,4.709,0.5993
291,9,21,-0.169,7537.7223,15543.5886,4.7132,0.6095
